Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
561,43.0,57.0,46.52,
562,43.0,51.0,46.24,
563,43.0,53.0,45.86,
564,43.0,51.0,46.28,
565,43.0,56.0,45.86,
566,43.0,56.0,46.38,
567,43.0,53.0,45.96,
568,43.0,58.0,46.08,
569,43.0,54.0,45.86,
570,43.0,51.0,45.74,
571,43.0,56.0,46.38,
572,43.0,53.0,45.64,
573,43.0,58.0,46.16,
574,43.0,53.0,45.98,
575,43.0,51.0,45.54,
576,43.0,53.0,45.38,
577,43.0,53.0,45.78,
578,43.0,52.0,45.84,
579,43.0,54.0,45.98,
580,43.0,53.0,45.88,
581,43.0,54.0,46.58,
582,43.0,54.0,45.72,
583,43.0,55.0,46.58,
584,43.0,53.0,45.78,
585,43.0,55.0,46.0,
586,43.0,51.0,45.52,
587,43.0,51.0,45.62,
588,43.0,54.0,45.66,
589,43.0,53.0,45.28,
590,43.0,52.0,45.42,
591,43.0,50.0,45.42,
592,43.0,54.0,45.92,
593,43.0,53.0,45.66,
594,43.0,51.0,45.46,
595,43.0,52.0,45.62,
596,43.0,53.0,45.48,
597,43.0,50.0,45.56,
598,43.0,51.0,45.34,
599,43.0,51.0,45.58,
600,43.0,54.0,46.52,
601,43.0,51.0,45.16,
602,43.0,51.0,45.56,
603,43.0,52.0,45.76,
604,43.0,50.0,45.38,
605,43.0,51.0,45.42,
606,43.0,50.0,45.54,
607,43.0,54.0,45.86,
608,43.0,50.0,45.82,
609,43.0,54.0,46.24,
610,43.0,52.0,45.62,
611,43.0,53.0,45.98,
612,43.0,54.0,45.98,
613,43.0,51.0,45.5,
614,43.0,57.0,45.68,
615,43.0,51.0,44.82,
616,43.0,52.0,45.8,
617,43.0,54.0,45.98,
618,43.0,50.0,45.12,
619,43.0,51.0,46.04,
620,43.0,52.0,45.82,
621,43.0,53.0,45.78,
622,43.0,54.0,45.86,
623,43.0,51.0,45.52,
624,43.0,52.0,45.9,
625,43.0,52.0,45.2,
626,43.0,54.0,46.02,
627,43.0,51.0,45.8,
628,43.0,52.0,45.66,
629,43.0,53.0,45.44,
630,43.0,55.0,45.16,
631,43.0,55.0,45.98,
