Machine = 10,Job = 5,Task = 60,Ant = 50,,,
Sedai , Best , Bad , Average ,,,
795,125,192,153.44, ,,
796,118,185,154.22, ,,
797,123,180,153.82, ,,
798,133,180,153.12, ,,
799,116,182,150.62, ,,
800,126,189,153.1, ,,
801,127,172,149.28, ,,
802,117,185,152.3, ,,
803,127,194,150.34, ,,
804,129,178,150.06, ,,
805,126,180,152.66, ,,
806,126,194,151.9, ,,
807,123,186,152.44, ,,
808,124,180,152.64, ,,
809,128,179,152.64, ,,
810,124,175,151.86, ,,
811,116,175,151.12, ,,
812,126,177,149.46, ,,
813,128,195,152.7, ,,
814,125,182,150.52, ,,
815,126,181,153.36, ,,
816,132,181,153.18, ,,
817,121,175,148.36, ,,
818,119,178,150.48, ,,
819,119,181,149.38, ,,
820,129,180,150.62, ,,
821,127,178,152.4, ,,
822,119,179,147.98, ,,
823,122,186,151.38, ,,
824,124,177,152.38, ,,
825,131,180,151.52, ,,
826,134,184,152.96, ,,
827,127,179,151.3, ,,
828,127,198,156.1, ,,
829,115,173,151.88, ,,
830,122,191,149.62, ,,
831,122,189,149.44, ,,
832,133,184,155.84, ,,
833,129,172,149.8, ,,
834,127,184,152.8, ,,
835,126,174,151.02, ,,
836,118,192,152.96, ,,
837,119,173,148.92, ,,
838,123,184,149.66, ,,
839,126,177,148.92, ,,
840,126,178,153.36, ,,
841,129,180,150.84, ,,
842,127,183,152.66, ,,
843,119,181,152.22, ,,
844,117,176,149.76, ,,
845,123,186,152.48, ,,
846,123,182,151.24, ,,
847,121,197,150.06, ,,
848,124,181,151.88, ,,
849,124,178,149.3, ,,
850,118,188,149.54, ,,
851,122,182,149.28, ,,
852,127,170,150.24, ,,
853,129,181,151.54, ,,
854,120,181,151.8, ,,
855,128,188,148.54, ,,
856,129,191,150.76, ,,
857,123,181,150.18, ,,
858,124,188,152.3, ,,
859,127,177,149.86, ,,
860,118,183,153.16, ,,
861,127,181,151.94, ,,
862,120,184,151.54, ,,
863,121,175,148.6, ,,
864,131,182,154.18, ,,
865,126,203,151.12, ,,
866,130,172,147.8, ,,
867,113,184,147.36, ,,
868,131,177,149.94, ,,
869,125,189,150.72, ,,
870,127,182,150.5, ,,
871,126,174,151.08, ,,
872,125,170,148.02, ,,
873,124,183,150.52, ,,
874,129,189,151.14, ,,
875,121,190,153.24, ,,
876,126,184,151.36, ,,
877,115,177,147.38, ,,
878,127,190,153.5, ,,
879,128,184,151.96, ,,
880,121,178,148.82, ,,
881,133,173,151.62, ,,
882,122,172,147.54, ,,
883,124,190,153.4, ,,
884,125,185,153.18, ,,
885,129,187,153.72, ,,
886,122,183,151.32, ,,
887,116,181,151, ,,
888,126,181,152.32, ,,
889,129,181,154.28, ,,
890,130,179,152.26, ,,
891,127,184,150.96, ,,
892,122,184,152.4, ,,
893,125,174,151.66, ,,
894,116,180,151.3, ,,
895,124,168,150.38, ,,
896,128,187,150.46, ,,
897,131,168,150.08, ,,
898,125,184,151.38, ,,
899,125,178,152.12, ,,
900,126,176,153.28, ,,
901,123,171,148.68, ,,
902,132,190,153.72, ,,
903,124,178,154, ,,
904,120,193,155.08, ,,
905,123,182,151.32, ,,
906,123,178,153.06, ,,
907,127,185,152.78, ,,
908,131,178,151, ,,
909,120,176,148.46, ,,
910,128,181,150.28, ,,
911,127,175,153.62, ,,
912,114,183,152.06, ,,
913,133,180,151.36, ,,
914,129,178,150.94, ,,
915,123,186,151.94, ,,
916,125,171,149.84, ,,
917,120,179,149.74, ,,
918,129,192,153.34, ,,
919,125,184,149.68, ,,
920,124,182,150, ,,
921,124,175,151.08, ,,
922,130,172,149.16, ,,
923,127,182,150.68, ,,
924,136,182,154.62, ,,
925,117,187,152.16, ,,
926,125,185,152.38, ,,
927,126,184,153.8, ,,
928,124,176,148.62, ,,
929,119,182,152.34, ,,
930,126,171,151.9, ,,
931,122,185,152.26, ,,
932,129,177,150.24, ,,
933,127,186,150.3, ,,
934,126,180,151.86, ,,
935,126,184,150.32, ,,
936,121,179,150.96, ,,
937,115,175,149.54, ,,
938,132,188,154.88, ,,
939,112,185,149.26, ,,
940,114,187,149.24, ,,
941,127,178,150.46, ,,
942,127,186,148.96, ,,
943,123,195,151.96, ,,
944,127,201,153.34, ,,
945,118,172,150.54, ,,
946,133,178,151.02, ,,
947,118,182,152, ,,
948,127,194,151.6, ,,
949,128,192,152.34, ,,
950,123,186,154.04, ,,
951,124,182,148.02, ,,
952,124,183,151.52, ,,
953,126,191,153.48, ,,
954,129,177,151.1, ,,
955,114,189,154.16, ,,
956,127,176,151.22, ,,
957,124,186,151.9, ,,
958,123,196,151.44, ,,
959,123,191,151.82, ,,
960,127,169,151.26, ,,
961,130,186,151.28, ,,
962,127,169,149.4, ,,
963,121,184,151.92, ,,
964,133,188,152.7, ,,
965,121,182,150.48, ,,
966,121,189,151.92, ,,
967,134,176,152.06, ,,
968,128,185,152.64, ,,
969,125,179,151.26, ,,
970,115,185,151.36, ,,
971,132,195,151.66, ,,
972,121,169,150.9, ,,
973,114,200,150.02, ,,
974,134,179,152.4, ,,
975,122,179,150.32, ,,
976,119,176,151.36, ,,
977,125,177,152.66, ,,
978,131,193,152.56, ,,
979,126,176,152.72, ,,
980,123,178,151.58, ,,
981,133,191,154.46, ,,
982,124,177,152.84, ,,
983,114,195,154.02, ,,
984,115,190,153.22, ,,
985,121,178,152.54, ,,
